,Client Count,Type 1 Client Count,Type 2 Client Count,Type 3 Client Count,Type 4 Client Count,Total Vendor Waiting Time,Total Technical Works Waiting Time,Total Specialized Technical Works Waiting Time,Vendor 1 Client Count,Vendor 2 Client Count,Technician 1 Client Count,Technician 2 Client Count,Technician 3 Client Count,Experienced Technician Client Count,Profit
count,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
mean,23.9179,10.7355,6.0099,2.4038,4.7687,8.863248344005967,0.53639595953518,10.396058397779315,11.9626,11.9553,4.3149,4.2486,4.2711,6.3146,6881.89
std,4.850908442886817,3.2401527138332633,2.441351676797332,1.5343340503611067,2.1653335024697276,10.675579562223234,4.58979220789277,23.873425330491965,2.9094755102551555,2.91416388439538,1.7871926017470303,1.7917363287903694,1.801035580691237,2.202796420735942,1987.8204574147449
min,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,700.0
25%,21.0,8.0,4.0,1.0,3.0,0.7588270967824879,0.0,0.0,10.0,10.0,3.0,3.0,3.0,5.0,5500.0
50%,24.0,11.0,6.0,2.0,5.0,5.8648373713489095,0.0,0.0,12.0,12.0,4.0,4.0,4.0,6.0,6750.0
75%,27.0,13.0,8.0,3.0,6.0,12.616266442419569,0.0,10.04678062491594,14.0,14.0,5.0,5.0,5.0,8.0,8150.0
max,50.0,29.0,17.0,10.0,14.0,122.18643280235312,254.609574940754,347.4834073047067,25.0,25.0,13.0,12.0,12.0,15.0,15250.0
